pais_autor,titulo,sitio_detectado,paises_del_sitio,clasificacion
it,Audit Design: Know-how to Monitor Community Knowledge Transfer in World Heritage Management Systems,hevsel gardens,tr,ajeno
it,Geochemistry-based machine learning approach applied to an archaeological provenance study: the obsidian blades of Tulūl al-Baqarat (Iraq),nemrut dag,tr,ajeno
it,A UDL–ICF Framework for Inclusive Artificial Intelligence in Cultural Heritage: Exploratory Insights from an Erasmus+ Blended Intensive Programme,herculaneum,it,propio
it,How Digital Cultural Heritage Resources can Lead to New Understandings in the Humanities: Future Challenges for Digital Libraries and Archives.,ferrara,it,propio
it,R.A.O. Project Recovery: Methods and Approaches for the Recovery of a Photographic Archive for the Creation of a Photogrammetric Survey of a Site Unreachable over Time,fortifications,lk;lu;pt,ajeno
it,"Ponte San Lorenzo, a case study for the comparison of image-based survey tools. NeRF as an alternative to photogrammetry",san lorenzo,pa,propio
it,A Semantic Classification Approach for the Aachen Cathedral,aachen cathedral,de,ajeno
it,Exploration of Urban Heritage Preferences in Chinese Context Using Computer Vision: An Analytic of Kulangsu International Settlement,kulangsu,cn,ajeno
it,Machines for thinkimg and bodies to preserve. Exhibition proposal for the Venice National Archaelogical Museum,venice,it,propio
it,Multi-Method Technics and Deep Neural Networks Tools on Board ARGO USV for the Geoarchaeological and Geomorphological Mapping of Coastal Areas: The Case of Puteoli Roman Harbour,harbour,nl,propio
it,"Web-based platform to collect, share and manage technical data of historical systemic architectures: the Telegraphic Towers along the Madrid-Valencia path",madrid,es,ajeno
it,Nonlinear Autoregressive Exogenous (NARX) Neural Network Models for Storm Tide Forecasting in the Venice Lagoon,venice and its lagoon,it,propio
it,A Visitor‐Centric Recommender System for Florentine Museums: A Foundation for Sustainable Tourism Management,florence,it,propio
it,"TOWARDS A CIRCULAR PORT-CITY DEVELOPMENT MODEL: A PILOT STUDY IN POZZUOLI, ITALY",naples,it,propio
it,AI and chatbots as a storytelling tool to personalize the visitor experience. The case of National Museum of Ravenna,an evolving,sa,ajeno
it,The globalized fish Industry: Employing DNA-barcoding and NIRS technology to combat counterfeiting and safeguard traditional agro-food products,venice,it,propio
it,Transforming from Mathematical Model to ML Model for Meteorology in Macao's Smart City Planning,macao,cn,ajeno
it,The Brancacci Chapel from the Quattrocento to the semantic web: An ontology-assisted case study of cultural data management and site reconstruction,florence,it,propio
it,Comparison of two machine learning algorithms for anthropogenic sinkhole susceptibility assessment in the city of Naples (Italy).,aqueduct,es,propio
it,Digitisation of the wooden maquette at Casa Buonarroti: a project never realised for the facade of San Lorenzo in Firenze,san lorenzo,pa,propio
it,"Machine Learning and Artificial Intelligence for Smart Visualization, Presentation, and Study of Architecture and Engineering in the Urban Environment",padua,it,propio
it,Towards Sustainable Heritage Conservation: Transformer-Based temperature forecasting in the city of Florence,florence,it,propio
it,Le projet Archaeo-Term : premiers résultats,naples,it,propio
it,Editorial: “Community centered digital libraries”,granada,es,ajeno
it,Digital Library e l'Ecosistema digitale per la cultura come opportunità di public engagement,ecosistema,ga,ajeno
it,Digital Library e l'Ecosistema digitale per la cultura come opportunità di public engagement,ecosistema,ga,ajeno
it,CHEDAR Project work-packages description,florence,it,propio
it,Making the Invisible Visible: Virtual/Interactive Itineraries in Roman Padua,padua,it,propio
it,"Ponte San Lorenzo, a case study for the comparison of image-based survey tools. NeRF as an alternative to photogrammetry",san lorenzo,pa,propio
it,"MEMEX_KG: Knowledge Graphs about the cities of Lisbon, Barcelona and Paris",barcelona,es,ajeno
it,"MEMEX_KG: Knowledge Graphs about the cities of Lisbon, Barcelona and Paris",barcelona,es,ajeno
it,The via Annia in Padua: Digital Narratives for a Roman Consular Road,padua,it,propio
it,Filippo Farsetti and the Dream of a Drawing Academy in Venice,venice,it,propio
it,Segmentazione semantica delle nuvole di punti utilizzando tecniche di apprendimento profondo per il patrimonio culturale,churches,in,ajeno
it,A Machine Learning Approach to Nemrut Dağ and Bingöl Obsidians: Provenance of Tūlūl Al Baqarat Tools (Iraq - Iv° Millennium) by Non-Invasive/Destructive Geochemical Analyses,nemrut dag,tr,ajeno
it,Representation Challenges: The Reasons of the Research,padua,it,propio
it,A machine learning approach to Nemrut Dağ and Bingöl Obsidians: non-invasive and non-destructive geochemical analyses for provenance source of Tulūl al Baqarat tools (Iraq),nemrut dag,tr,ajeno
it,Monocular Depth Estimation from UAV Images for 3D Documentation of Architectural Heritage: A Depth Anything V2-Based Approach,villas,it,propio
it,Reliability of Rapid Seismic Vulnerability Assessment of Italian Architectural Heritage: the case of Churches,churches,in,ajeno
it,"Machine learning approach to Nemrut Dağ and Bingöl obsidians: insights from Tūlūl al Baqarat obsidian prehistoric tools (Iraq, IV millennium BC) and volcanological implications",nemrut dag,tr,ajeno
it,LLM-Reflex-GeoKG: A reflexion-enhanced LLM framework for automated geographic knowledge graph construction,reflexion,kh,ajeno
it,Semantic representation of historical architectural heritage with digital modeling methods: The Aragonese Tower in Bitonto (Bari),fortifications,lk;lu;pt,propio
it,Participatory Citizen Curation in the VAST Project Framework,human rights,za,ajeno
it,MAGIC-MEMO: pratiche condivise di digitalizzazione per la memoria scritta di Montecassino,abbey,de,ajeno
it,MAGIC-MEMO: pratiche condivise di digitalizzazione per la memoria scritta di Montecassino,abbey,de,ajeno
it,Loggia dei Lanzi: AI Thermography Enhancement Comparisons through 3D Photogrammetry,florence,it,propio
it,A Large Language Model-Driven Architecture for Intuitive Interaction in Virtual Reality Environments,churches,in,ajeno
it,Analysis and Prediction of Woman's Dress Categories from Fashion Trends,delhi,in,ajeno
it,Ethical meat: respect for farm animals,florence,it,propio
it,"REPORT FROM THE INTERNATIONAL ANDREA CESALPINO SYSTEMATICS SYMPOSIUM – IACS500, PISA, ITALY, 5–6 JUNE 2025",florence,it,propio
it,A Preliminary Analysis of High Water Events in Venice Based on Multi-Decadal Observations and Clustering,venice,it,propio
it,U-NET for Quantitative GPR Imaging,florence,it,propio
it,Understanding resilience to High-Impact Low-Probability events: a tiered stress testing methodology implemented in the municipality of Venice,venice,it,propio
it,Development of innovative monitoring technologies in the framework of InnovaMare Project,venice,it,propio
it,Editorial: “Redefining impact: digital libraries and their communities”,rajasthan,in,ajeno
it,"Machine learning methods for bipedal dinosaur tracks: Integrating different ichnological data - Code, data and models",ciencias,es,ajeno
it,"Machine learning methods for bipedal dinosaur tracks: Integrating different ichnological data - Code, data and models",ciencias,es,ajeno
it,Making a Cultural Visit with a Smart Mate,florence,it,propio
it,Tracking the life of the book: an interview with Cristina Dondi,venice,it,propio
it,"UNA QUANTUM 1: Atti del Convegno UnaQuantum2021 Nuove Tecnologie opensource per la gestione dei beni, dele attività culturali e del turismo 16-17 Dicembre 2021, Sala della Fortuna,",agrigento,it,propio
jp,Knowledge archaeology on relations between the Venice Architecture Biennale (1980–2018) and the Pritzker Architecture Prize (1979–2019),venice,it,ajeno
jp,"Deep learning-based detector of invasive alien frogs, <i>Polypedates leucomystax and Rhinella marina</i> , on an island at invasion front",iriomote island,jp,propio
jp,License Plate Recognition Using Deep Learning to Manage Overtourism: a Case Study of Shirakawa-go Parking Areas,shirakawa-go,jp,propio
jp,SIGGRAPH 2019 Art Gallery,vienna,at,ajeno
jp,Top-Rated LGA Abstracts 2023,madrid,es,ajeno
pe,Building Semantic Segmentation Using UNet Convolutional Network on SpaceNet Public Data Sets for Monitoring Surrounding Area of Chan Chan (Peru),chan chan,pe,propio
pe,"Impact Assessment of Infrastructures Exposure to Weak Motion Vibrations in Arequipa, Peru",city of arequipa,pe,propio
