pais_autor,titulo,sitio_detectado,paises_del_sitio,clasificacion
cn,Research on Carbon Sink Promotion Paths in the Integration of Cultural Heritage Protection and Brownfield Regeneration Under the Background of Climate Change—A Case Study of Wester,wetlands,ge,ajeno
cn,Shanghai memory as a digital humanities platform to rebuild the history of the city,venice,it,ajeno
cn,Research on the Development of Crack Diseases at the Jiayuguan Rammed Earth Site in Multivariate Time Series Based on Deep Learning and Transfer Learning,great wall,cn,propio
cn,Color restoration of mural images based on a reversible neural network: leveraging reversible residual networks for structure and texture preservation,mogao caves,cn,propio
cn,A Study on Innovative Experience Design for the Museum of the Mausoleum of the First Qin Emperor in the Era of Digital Humanities,mausoleum of the first qin emperor,cn,propio
cn,"Built Equality and Sustainable Urban Cultural Space: A Case Study of Quanzhou, China",quanzhou,cn,propio
cn,Explainable machine learning links erosion damage to environmental factors on Gansu rammed earth Great Wall,the great wall,cn,propio
cn,Development and preliminary validation of a scale for evaluating the effectiveness of generative AI in museum cultural and creative product design,delphi,gr,ajeno
cn,Optimization of Museum Exhibition Space Design based on Graph Neural Network,capital cities,cn,propio
cn,Using Deep Learning Approaches to Quantify Landscape Preference of the Chinese Grand Canal: An Empirical Case Study of the Yangzhou Ancient Canal,grand canal,cn,propio
cn,Hyperspectral identification of travertine state in Huanglong by the PSO-BPNN method,huanglong scenic and historic interest area,cn,propio
cn,Screening the stones of Venice: Mapping social perceptions of cultural significance through graph-based semi-supervised classification,venice,it,ajeno
cn,A model for landscape heritage information extraction and 3D generation from sketches and text prompts with IoT-enhanced data fusion,berlin,de,ajeno
cn,Multi-scale neighborhood selection network for the Great Wall point cloud segmentation,the great wall,cn,propio
cn,Construction Environment Noise Suppression of Ground-Penetrating Radar Signals Based on an RG-DMSA Neural Network,macao,cn,propio
cn,OBIFlo-SAM: multi-task semantic recognition and segmentation of oracle bone inscription,florence,it,ajeno
cn,Chang-E: A High-Quality Motion Capture Dataset of Chinese Classical Dunhuang Dance,mogao caves,cn,propio
cn,Estimating and mapping cultural ecosystem services in Yarlung Tsangpo Grand Canyon National Park using MLLMs and the SolVES model,grand canyon national park,us,ajeno
cn,An Automated Recognition Framework for Surface Deterioration Features of StoneSculptural Artifacts in the Yungang Grottoes Based on Deep Learning,yungang grottoes,cn,propio
cn,Bioinformatics/Medical Informatics in Traditional Medicine and Integrative Medicine,delphi,gr,ajeno
cn,A Review of Digital Technology in Informal Education and Its Role in Educational Equity,macao,cn,propio
cn,Renovación feminista de las imágenes arqueológicas: aportaciones del proyecto Pastwomen,ayuntamiento,de,ajeno
cn,Satellite based DeepLabV3Plus semantic segmentation for fortress wall preservation assessment in Yuxian County,the great wall,cn,propio
cn,Leveraging neural networks to model tourist behaviour for sustainable heritage conservation,fort and shalamar gardens in lahore,pk,ajeno
cn,Hidden in the sand: the deep learning dataset of fortified villages (qala),fortified,et,ajeno
cn,Machine Learning for Automatic Identification of Pores in Microscopic Images of Weathered Sandstone from Yungang Grottoes,yungang grottoes,cn,propio
cn,The FAIR Principles: First Generation Implementation Choices and Challenges,lorentz,id,ajeno
cn,Diagnosing building moisture conditions using CNN analysis of infrared and microwave signatures,yungang grottoes,cn,propio
cn,Research on the path of Integrated Development of Culture and Tourism in Shenyang Empowered by AI,shenyang,cn,propio
